id|threshold|startTime|endTime|truncationLimit|truncationOrder
102177615569238466|0|1656633600000|1659052800000|500|TIMESTAMP_DESCENDING
135673412675703072|0|1640995200000|1643414400000|500|TIMESTAMP_DESCENDING
139612687960130933|0|1656633600000|1661472000000|500|TIMESTAMP_DESCENDING
144396937930477858|0|1661990400000|1664409600000|500|TIMESTAMP_DESCENDING
168040561096282575|0|1654041600000|1658880000000|500|TIMESTAMP_DESCENDING
186619833704523070|0|1646092800000|1648512000000|500|TIMESTAMP_DESCENDING
188590433419396593|0|1638316800000|1643155200000|500|TIMESTAMP_DESCENDING
198721608435637369|0|1648771200000|1651190400000|500|TIMESTAMP_DESCENDING
20266473201086875|0|1654041600000|1658880000000|500|TIMESTAMP_DESCENDING
216736006945132193|0|1659312000000|1664150400000|500|TIMESTAMP_DESCENDING
225182455269701244|0|1654041600000|1656460800000|500|TIMESTAMP_DESCENDING
225743755955688795|0|1656633600000|1659052800000|500|TIMESTAMP_DESCENDING
232216855786296800|0|1659312000000|1661731200000|500|TIMESTAMP_DESCENDING
239537129326129373|0|1651363200000|1653782400000|500|TIMESTAMP_DESCENDING
240098979767919147|0|1646092800000|1649721600000|500|TIMESTAMP_DESCENDING
245448103837042624|0|1648771200000|1653609600000|500|TIMESTAMP_DESCENDING
247417329162388253|0|1661990400000|1666828800000|500|TIMESTAMP_DESCENDING
247981928383270897|0|1661990400000|1666828800000|500|TIMESTAMP_DESCENDING
248262578726260038|0|1656633600000|1659052800000|500|TIMESTAMP_DESCENDING
264870152107984814|0|1654041600000|1662508800000|500|TIMESTAMP_DESCENDING
270498002374766597|0|1656633600000|1661472000000|500|TIMESTAMP_DESCENDING
273032926432608800|0|1659312000000|1666569600000|500|TIMESTAMP_DESCENDING
281475251588584163|0|1661990400000|1670457600000|500|TIMESTAMP_DESCENDING
4660662939252950204|0|1656633600000|1661472000000|500|TIMESTAMP_DESCENDING
4661789114037712064|0|1651363200000|1653782400000|500|TIMESTAMP_DESCENDING
4675863137751152635|0|1659312000000|1664150400000|500|TIMESTAMP_DESCENDING
4709077734758809698|0|1654041600000|1658880000000|500|TIMESTAMP_DESCENDING
4744825331678986912|0|1651363200000|1656201600000|500|TIMESTAMP_DESCENDING
4764808405758006286|0|1651363200000|1656201600000|500|TIMESTAMP_DESCENDING
4771846929443203893|0|1651363200000|1653782400000|500|TIMESTAMP_DESCENDING
4783668053831320541|0|1654041600000|1656460800000|500|TIMESTAMP_DESCENDING
4783668878465044015|0|1659312000000|1661731200000|500|TIMESTAMP_DESCENDING
4786484452865867898|0|1656633600000|1661472000000|500|TIMESTAMP_DESCENDING
4801118952631567934|0|1659312000000|1664150400000|500|TIMESTAMP_DESCENDING
4822511050861582876|0|1654041600000|1658880000000|500|TIMESTAMP_DESCENDING
4826734000145963823|0|1656633600000|1659052800000|500|TIMESTAMP_DESCENDING
4834616673883400120|0|1640995200000|1643414400000|500|TIMESTAMP_DESCENDING
4849250898771184821|0|1651363200000|1653782400000|500|TIMESTAMP_DESCENDING
4850658273654755361|0|1661990400000|1664409600000|500|TIMESTAMP_DESCENDING
4852910623224246437|0|1656633600000|1660262400000|500|TIMESTAMP_DESCENDING
4854037347764802416|0|1651363200000|1654992000000|500|TIMESTAMP_DESCENDING
4865014596978606813|0|1659312000000|1662940800000|500|TIMESTAMP_DESCENDING
4866422246740083071|0|1654041600000|1658880000000|500|TIMESTAMP_DESCENDING
4867548421524817590|0|1656633600000|1661472000000|500|TIMESTAMP_DESCENDING
4873741145890377254|0|1661990400000|1666828800000|500|TIMESTAMP_DESCENDING
4875430545506440709|0|1656633600000|1659052800000|500|TIMESTAMP_DESCENDING
4882747245633475038|0|1661990400000|1666828800000|500|TIMESTAMP_DESCENDING
4884436645249568327|0|1661990400000|1666828800000|500|TIMESTAMP_DESCENDING
4890348169516304660|0|1659312000000|1667779200000|500|TIMESTAMP_DESCENDING
4902731144346215010|0|1661990400000|1694649600000|500|TIMESTAMP_DESCENDING
92044241529739044|0|1656633600000|1661472000000|500|TIMESTAMP_DESCENDING
95702591593265221|0|1654041600000|1658880000000|500|TIMESTAMP_DESCENDING
137360613268522433|0|1635724800000|1640563200000|500|TIMESTAMP_DESCENDING
158754085888079013|0|1656633600000|1659052800000|500|TIMESTAMP_DESCENDING
166072435282553027|0|1646092800000|1649721600000|500|TIMESTAMP_DESCENDING
197033858087012675|0|1646092800000|1648512000000|500|TIMESTAMP_DESCENDING
204069358115228977|0|1651363200000|1653782400000|500|TIMESTAMP_DESCENDING
204351932603573375|0|1638316800000|1640736000000|500|TIMESTAMP_DESCENDING
207447332713670318|0|1659312000000|1662940800000|500|TIMESTAMP_DESCENDING
210545206724923279|0|1656633600000|1661472000000|500|TIMESTAMP_DESCENDING
211389906532963730|0|1654041600000|1658880000000|500|TIMESTAMP_DESCENDING
243477504122159778|0|1648771200000|1652400000000|500|TIMESTAMP_DESCENDING
244603129151109178|0|1648771200000|1652400000000|500|TIMESTAMP_DESCENDING
254455577969691063|0|1654041600000|1667347200000|500|TIMESTAMP_DESCENDING
276128051664796167|0|1661990400000|1674086400000|500|TIMESTAMP_DESCENDING
283446675937175055|0|1659312000000|1667779200000|500|TIMESTAMP_DESCENDING
287106950146050420|0|1661990400000|1670457600000|500|TIMESTAMP_DESCENDING
288232300297081650|0|1659312000000|1673827200000|500|TIMESTAMP_DESCENDING
40253120692899368|0|1648771200000|1653609600000|500|TIMESTAMP_DESCENDING
4712736634578154644|0|1648771200000|1653609600000|500|TIMESTAMP_DESCENDING
4733002558023406574|0|1659312000000|1664150400000|500|TIMESTAMP_DESCENDING
4740320357662080440|0|1635724800000|1640563200000|500|TIMESTAMP_DESCENDING
4741165057470124215|0|1646092800000|1650931200000|500|TIMESTAMP_DESCENDING
4745387456998686431|0|1648771200000|1651190400000|500|TIMESTAMP_DESCENDING
4780852754308402354|0|1643673600000|1646092800000|500|TIMESTAMP_DESCENDING
4787046853063490167|0|1648771200000|1653609600000|500|TIMESTAMP_DESCENDING
4808438676415595861|0|1656633600000|1661472000000|500|TIMESTAMP_DESCENDING
