id|startTime|endTime|truncationLimit|truncationOrder
13194139562540|1654041600000|1657670400000|500|TIMESTAMP_DESCENDING
8796093065209|1651363200000|1654992000000|500|TIMESTAMP_DESCENDING
4398046602004|1648771200000|1656028800000|500|TIMESTAMP_DESCENDING
24189255821052|1643673600000|1647302400000|500|TIMESTAMP_DESCENDING
19791209320152|1648771200000|1656028800000|500|TIMESTAMP_DESCENDING
21990232613909|1651363200000|1654992000000|500|TIMESTAMP_DESCENDING
10995116336692|1651363200000|1656201600000|500|TIMESTAMP_DESCENDING
26388279152807|1648771200000|1652400000000|500|TIMESTAMP_DESCENDING
4398046518655|1651363200000|1654992000000|500|TIMESTAMP_DESCENDING
42306|1651363200000|1653782400000|500|TIMESTAMP_DESCENDING
4398046560299|1656633600000|1663891200000|500|TIMESTAMP_DESCENDING
2199023286505|1625097600000|1633910400000|500|TIMESTAMP_DESCENDING
21990232578360|1619827200000|1630281600000|500|TIMESTAMP_DESCENDING
15393162791891|1646092800000|1654128000000|500|TIMESTAMP_DESCENDING
6597069851575|1635724800000|1638921600000|500|TIMESTAMP_DESCENDING
44698|1643673600000|1651708800000|500|TIMESTAMP_DESCENDING
6597069829111|1640995200000|1643414400000|500|TIMESTAMP_DESCENDING
19791209392042|1646092800000|1649289600000|500|TIMESTAMP_DESCENDING
21990232557173|1648771200000|1659225600000|500|TIMESTAMP_DESCENDING
19791209385687|1648771200000|1656028800000|500|TIMESTAMP_DESCENDING
19791209324206|1633046400000|1637020800000|500|TIMESTAMP_DESCENDING
17592186064512|1633046400000|1636243200000|500|TIMESTAMP_DESCENDING
24189255887744|1635724800000|1639699200000|500|TIMESTAMP_DESCENDING
15393162849066|1648771200000|1654387200000|500|TIMESTAMP_DESCENDING
13194139600953|1648771200000|1652745600000|500|TIMESTAMP_DESCENDING
6597069801775|1651363200000|1658620800000|500|TIMESTAMP_DESCENDING
8796093103636|1646092800000|1649289600000|500|TIMESTAMP_DESCENDING
26388279100165|1638316800000|1641513600000|500|TIMESTAMP_DESCENDING
21990232632179|1648771200000|1651968000000|500|TIMESTAMP_DESCENDING
26388279107121|1648771200000|1651190400000|500|TIMESTAMP_DESCENDING
13194139631730|1646092800000|1648512000000|500|TIMESTAMP_DESCENDING
4398046527576|1648771200000|1651968000000|500|TIMESTAMP_DESCENDING
18599|1651363200000|1654992000000|500|TIMESTAMP_DESCENDING
4398046600813|1656633600000|1659830400000|500|TIMESTAMP_DESCENDING
