createTime|dependencyTime|personId|personName|isBlocked
1669723269798|0|0000030786325578686|2|false
1669730634096|0|0000030786325579315|1|false
1669848728536|0|0000030786325578700|1|false
1669862897991|0|0000030786325578345|2|false
1669879017501|0|0000030786325577996|2|false
1669940400664|0|0000030786325578501|4|false
1669968852313|0|0000030786325579195|1|false
1670025852006|0|0000030786325578447|4|false
1670041318423|0|0000030786325579478|1|false
1670128533107|0|0000030786325579432|8|false
1670161835808|0|0000030786325578806|1|false
1670308469682|0|0000030786325578724|1|false
1670317094611|0|0000030786325578280|1|false
1670352487625|0|0000030786325578653|2|false
1670393628224|0|0000030786325578005|1|false
1670474217024|0|0000030786325578634|1|false
1670497517064|0|0000030786325579533|1|false
1670553897733|0|0000030786325579639|1|false
1670594167342|0|0000030786325578303|1|false
1670723750398|0|0000030786325578096|1|false
1670747910372|0|0000030786325579612|1|false
1670799298929|0|0000030786325578436|1|false
1670802532412|0|0000030786325579683|1|false
1670809605606|0|0000030786325579434|1|false
1670970830150|0|0000030786325578903|1|false
1671124506283|0|0000030786325578328|2|false
1671128198565|0|0000030786325579141|1|false
1671239752247|0|0000030786325579200|1|false
1671461141325|0|0000030786325579104|1|false
1671485528330|0|0000030786325578007|1|false
1671586432079|0|0000030786325578305|1|false
1671596856720|0|0000030786325578380|1|false
1671626728489|0|0000030786325578738|1|false
1671771279793|0|0000030786325577806|3|false
1671840548198|0|0000030786325579229|2|false
1671913800808|0|0000030786325579463|1|false
1671919247813|0|0000030786325579656|1|false
1671943598262|0|0000030786325579098|4|false
1672183830125|0|0000030786325579307|4|false
1672186808656|0|0000030786325579254|4|false
1672265377847|0|0000030786325579566|1|false
1672381512216|0|0000030786325578185|8|false
1672414614853|0|0000030786325578691|12|false
