createTime|dependencyTime|companyId|companyName|isBlocked
1669704115833|0|0000015393162789416|Yost Inc|false
1669819274403|0|0000015393162788918|Graham-Klein|false
1669897762857|0|0000015393162789294|Heathcote-Lesch|false
1670183068013|0|0000015393162789108|Corwin-Cummings|false
1670191282620|0|0000015393162789068|Hansen-Nienow|false
1670291151425|0|0000015393162789812|Orn-Cronin|false
1670292908141|0|0000015393162789410|Keeling-Swaniawski|false
1670345954213|0|0000015393162789473|Schroeder-Nader|false
1670510447377|0|0000015393162789077|Cremin Group|false
1670517858904|0|0000015393162789205|Bergnaum Inc|false
1670566648164|0|0000015393162788912|Wiegand-King|false
1670589807020|0|0000015393162789458|Russel-Mosciski|false
1671080574747|0|0000015393162789171|Kirlin Inc|false
1671085274279|0|0000015393162789267|Kris-Wiegand|false
1671121196472|0|0000015393162789082|Ziemann-Hilpert|false
1671214597326|0|0000015393162789373|Pacocha-Konopelski|false
1671285943422|0|0000015393162789019|Walker-Little|false
1671317870204|0|0000015393162789658|Stracke-Ward|false
1671350479332|0|0000015393162789419|Simonis LLC|false
1671747377912|0|0000015393162789352|Abshire-Collier|false
1671748235441|0|0000015393162789807|Fahey-Beer|false
1671890103871|0|0000015393162789103|Huels-Ziemann|false
1671962167893|0|0000015393162789225|McClure-Vandervort|false
1672060733537|0|0000015393162789167|Welch-Heathcote|false
1672145946461|0|0000015393162789279|Mohr-Kulas|false
1672196475512|0|0000015393162789657|Osinski-Franecki|false
1672257590452|0|0000015393162789469|Will Group|false
1672358232864|0|0000015393162789647|Kuhic-Jones|false
1672375900050|0|0000015393162788937|Champlin-Goyette|false
1672397175524|0|0000015393162789446|Bruen Group|false
1672413352021|0|0000015393162789293|Johnston-Wolf|false
1672431126460|0|0000015393162789100|Jerde-Feeney|false
1672492044427|0|0000015393162789815|Stroman Inc|false
