id|startTime|endTime|truncationLimit|truncationOrder
4398046565119|1646092800000|1743811200000|500|TIMESTAMP_DESCENDING
13194139573047|1643673600000|1663977600000|500|TIMESTAMP_DESCENDING
24189255833880|1648771200000|1685491200000|500|TIMESTAMP_DESCENDING
4398046596569|1640995200000|1646784000000|500|TIMESTAMP_DESCENDING
17592186074129|1633046400000|1635897600000|500|TIMESTAMP_DESCENDING
24189255845194|1646092800000|1650931200000|500|TIMESTAMP_DESCENDING
8796093103356|1648771200000|1655510400000|500|TIMESTAMP_DESCENDING
10995116282528|1646092800000|1651881600000|500|TIMESTAMP_DESCENDING
6597069774673|1640995200000|1643846400000|500|TIMESTAMP_DESCENDING
26388279082106|1648771200000|1654560000000|500|TIMESTAMP_DESCENDING
13194139533676|1651363200000|1655164800000|500|TIMESTAMP_DESCENDING
2199023256495|1646092800000|1650931200000|500|TIMESTAMP_DESCENDING
15393162860690|1638316800000|1641340800000|500|TIMESTAMP_DESCENDING
66655|1648771200000|1653609600000|500|TIMESTAMP_DESCENDING
4398046520582|1640995200000|1643846400000|500|TIMESTAMP_DESCENDING
8796093043621|1648771200000|1651622400000|500|TIMESTAMP_DESCENDING
4398046570013|1635724800000|1639526400000|500|TIMESTAMP_DESCENDING
15393162869108|1640995200000|1644019200000|500|TIMESTAMP_DESCENDING
9784|1633046400000|1636848000000|500|TIMESTAMP_DESCENDING
21990232645238|1651363200000|1654214400000|500|TIMESTAMP_DESCENDING
2199023297584|1643673600000|1646524800000|500|TIMESTAMP_DESCENDING
24189255902994|1646092800000|1648944000000|500|TIMESTAMP_DESCENDING
6597069795723|1648771200000|1651622400000|500|TIMESTAMP_DESCENDING
8796093049320|1656633600000|1661472000000|500|TIMESTAMP_DESCENDING
4398046536839|1640995200000|1643846400000|500|TIMESTAMP_DESCENDING
19791209398316|1643673600000|1646524800000|500|TIMESTAMP_DESCENDING
4398046557873|1643673600000|1647475200000|500|TIMESTAMP_DESCENDING
13194139540848|1640995200000|1644019200000|500|TIMESTAMP_DESCENDING
19791209300691|1648771200000|1652572800000|500|TIMESTAMP_DESCENDING
19791209326012|1646092800000|1651881600000|500|TIMESTAMP_DESCENDING
6597069826088|1643673600000|1647475200000|500|TIMESTAMP_DESCENDING
8796093070201|1643673600000|1648512000000|500|TIMESTAMP_DESCENDING
10995116377109|1633046400000|1635897600000|500|TIMESTAMP_DESCENDING
4398046599629|1648771200000|1651622400000|500|TIMESTAMP_DESCENDING
37445|1633046400000|1636070400000|500|TIMESTAMP_DESCENDING
42647|1640995200000|1644019200000|500|TIMESTAMP_DESCENDING
6597069821187|1635724800000|1639526400000|500|TIMESTAMP_DESCENDING
6597069841448|1646092800000|1651881600000|500|TIMESTAMP_DESCENDING
10995116290323|1638316800000|1641168000000|500|TIMESTAMP_DESCENDING
10995116301464|1648771200000|1651622400000|500|TIMESTAMP_DESCENDING
4398046535518|1646092800000|1648944000000|500|TIMESTAMP_DESCENDING
4398046560002|1651363200000|1656201600000|500|TIMESTAMP_DESCENDING
13194139597183|1646092800000|1650931200000|500|TIMESTAMP_DESCENDING
21990232560514|1651363200000|1654214400000|500|TIMESTAMP_DESCENDING
10995116301480|1648771200000|1652572800000|500|TIMESTAMP_DESCENDING
13194139558952|1656633600000|1659484800000|500|TIMESTAMP_DESCENDING
10995116324781|1617235200000|1620086400000|500|TIMESTAMP_DESCENDING
13194139562696|1643673600000|1647475200000|500|TIMESTAMP_DESCENDING
19791209381146|1640995200000|1643846400000|500|TIMESTAMP_DESCENDING
21990232648276|1648771200000|1651622400000|500|TIMESTAMP_DESCENDING
2199023321171|1643673600000|1646697600000|500|TIMESTAMP_DESCENDING
8796093051775|1638316800000|1641340800000|500|TIMESTAMP_DESCENDING
19791209383247|1640995200000|1644019200000|500|TIMESTAMP_DESCENDING
15362|1654041600000|1657065600000|500|TIMESTAMP_DESCENDING
6597069833584|1646092800000|1649116800000|500|TIMESTAMP_DESCENDING
10995116352360|1638316800000|1641340800000|500|TIMESTAMP_DESCENDING
13194139556679|1633046400000|1635897600000|500|TIMESTAMP_DESCENDING
17592186127968|1654041600000|1657843200000|500|TIMESTAMP_DESCENDING
24189255875245|1643673600000|1647475200000|500|TIMESTAMP_DESCENDING
8796093115139|1643673600000|1646524800000|500|TIMESTAMP_DESCENDING
10995116296854|1638316800000|1641168000000|500|TIMESTAMP_DESCENDING
13194139621606|1646092800000|1649116800000|500|TIMESTAMP_DESCENDING
2199023329265|1640995200000|1644019200000|500|TIMESTAMP_DESCENDING
19791209384251|1604188800000|1607990400000|500|TIMESTAMP_DESCENDING
18147|1651363200000|1654387200000|500|TIMESTAMP_DESCENDING
58749|1646092800000|1649894400000|500|TIMESTAMP_DESCENDING
2199023292466|1643673600000|1646697600000|500|TIMESTAMP_DESCENDING
19791209394358|1648771200000|1653609600000|500|TIMESTAMP_DESCENDING
15393162818945|1648771200000|1651622400000|500|TIMESTAMP_DESCENDING
6597069780233|1648771200000|1651795200000|500|TIMESTAMP_DESCENDING
8796093079683|1648771200000|1651622400000|500|TIMESTAMP_DESCENDING
15393162866654|1654041600000|1657843200000|500|TIMESTAMP_DESCENDING
21990232578784|1638316800000|1641340800000|500|TIMESTAMP_DESCENDING
24189255864776|1643673600000|1646697600000|500|TIMESTAMP_DESCENDING
15393162874702|1654041600000|1657065600000|500|TIMESTAMP_DESCENDING
