creationDate|dependencyTime|accountId|loanId|time|amount
1583857157641|0|1|1|99999|1
1583877167642|0|2|2|99999|2
1583877167643|0|3|3|99999|3
1583877167644|0|4|2|99999|4
1583877167645|0|5|3|99999|5
1583877167646|0|6|2|99999|6
1583877167647|0|7|3|99999|7
1583877167648|0|8|2|99999|8
1583877167649|0|9|3|99999|9
1583877177641|0|1|1|99999|0
1583877177642|0|2|2|99999|1
1583877177643|0|3|3|99999|2
1583877177644|0|4|2|99999|3
1583877177645|0|5|3|99999|4
1583877177646|0|6|2|99999|5
1583877177647|0|7|3|99999|6
1583877177648|0|8|2|99999|7
1583877177649|0|9|3|99999|8
