creationDate|dependencyTime|personId|personName|accountId|time|accountBlocked|accountType
1583877167641|0|101|Alice|1|99999|true|type
1583877168642|0|102|Bob|2|99999|true|type
1583877169643|0|103|Cindy|3|99999|false|type
1583877170644|0|104|Bob|2|99999|true|type
1583877171645|0|105|Cindy|3|99999|false|type
1583877172646|0|106|Bob|2|99999|true|type
1583877173647|0|107|Cindy|3|99999|false|type
1583877174648|0|108|Bob|2|99999|true|type
1583877175649|0|109|Cindy|3|99999|false|type
1583877176641|0|101|Alice|1|99999|true|type
1583877177642|0|102|Bob|2|99999|true|type
1583877178643|0|103|Cindy|3|99999|false|type
1583877179644|0|104|Bob|2|99999|true|type
1583877180645|0|105|Cindy|3|99999|false|type
1583877181646|0|106|Bob|2|99999|true|type
1583877182647|0|107|Cindy|3|99999|false|type
1583877183648|0|108|Bob|2|99999|true|type
1583877184649|0|109|Cindy|3|99999|false|type
