creationDate|dependencyTime|companyId|companyName|accountId|time|accountBlocked|accountType
1583857157641|0|1|Alice|1|99999|true|type
1583857157641|0|2|Bob|2|99999|true|type
1583857157641|0|3|Cindy|3|99999|false|type
1583877167644|0|4|Bob|2|99999|true|type
1583877167645|0|5|Cindy|3|99999|false|type
1583877167646|0|6|Bob|2|99999|true|type
1583877167647|0|7|Cindy|3|99999|false|type
1583877167648|0|8|Bob|2|99999|true|type
1583877167649|0|9|Cindy|3|99999|false|type
1583877177641|0|1|Alice|1|99999|true|type
1583877177642|0|2|Bob|2|99999|true|type
1583877177643|0|3|Cindy|3|99999|false|type
1583877177644|0|4|Bob|2|99999|true|type
1583877177645|0|5|Cindy|3|99999|false|type
1583877177646|0|6|Bob|2|99999|true|type
1583877177647|0|7|Cindy|3|99999|false|type
1583877177648|0|8|Bob|2|99999|true|type
1583877177649|0|9|Cindy|3|99999|false|type
